t,entropy_src_ip,entropy_dst_ip,entropy_dst_port,entropy_renyi_src,pps,bps,syn_pct,icmp_pct,new_flows_per_sec,avg_pkt_size
1778386978.77,-0.0,-0.0,-0.0,-0.0,2.0,960.0,1.0,0.0,2.0,60.0
1778386979.27,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,2.0,60.0
1778386979.77,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386981.27,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386981.77,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386985.27,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386985.77,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386993.27,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
1778386993.77,-0.0,-0.0,-0.0,-0.0,4.0,1920.0,1.0,0.0,0.0,60.0
